Sender,Receiver,Count
Zwingli,Glarean,29
Joachim Vadian,Zwingli,33
Zwingli,Johann Heinrich Wentz,1
Jakob Zwingli,Zwingli,1
Valentin Tschudi,Zwingli,8
Johannes Dingnauer,Zwingli,1
Petrus Falck,Zwingli,2
Erasmus,Zwingli,7
Zwingli,Nesenus,1
Petrus Tschudi,Zwingli,6
Aegidius Tschudi,Zwingli,1
Sigismund Rötlin,Zwingli,1
Zwingli,Johann Leupold Konrad Grebel,1
Jakob Salzmann Salandronius,Zwingli,7
Schultheiss und Rat zu Winterthur,Zwingli,2
Zwingli,Conradus Fonteius,4
Wilhelm Nesen,Zwingli,6
Bombasius,Zwingli,1
Zwingli,Erasmus Fabritius,2
Zwingli,Konrad Grebel,1
Antonio Pucci,Zwingli,1
Johann Jacob Zurgilgen,Zwingli,2
Myconius,Zwingli,4
Zwingli,Heinrich Utinger,2
Beatus Rhenanus,Zwingli,28
Zwingli,Michael Sanderus,1
Leo Jud,Zwingli,2
Zwingli,Landammann und Rat zu Schwyz,1
Johannes Lichtenburger,Zwingli,1
Zwingli,Urbanus Rhegius,5
Beatus Rehananus,Zwingli,1
Christophorus Crassus,Zwingli,1
Johannes Froben,Zwingli,1
Zwingli,Johannes Fabri,3
Simon Stumpf,Zwingli,3
Zwingli,Johann Jakob Ammann,5
Jakob Heer,Zwingli,1
Jost Schmid,Zwingli,1
Zwingli,Jacobus Nepos,2
Zwingli,Andreas Zwingli,2
Zwingli,Kaspar Hedio,12
Hieronymus Artolbius,Zwingli,1
Ulrich Zasius,Zwingli,1
Zwingli,Wilibald Pirkheimer,1
Zwingli,Oswald Myconius,45
Hans Brunner,Zwingli,1
Guilelmus a Falconibus,Zwingli,1
Christian Abt zu St. Johann,Zwingli,1
Gregor Bünzli,Zwingli,3
Hieronymus Frobenius,Zwingli,1
Philippus Engentinus,Zwingli,1
Zwingli,Felix Myconius,2
Nicolaus Hagaeus,Zwingli,1
Zwingli,Hieronymus Froben,1
Wolfgang Capito,Zwingli,45
Iacobus Nepos,Zwingli,3
Johannes Glother,Zwingli,1
Rudolphus Clivanus,Zwingli,1
Sebastian Hofmeister,Zwingli,4
Zwingli,Johann Alexander Brassicanus,3
Schultheiss und Rat zu Baden,Zwingli,1
Franciscus Cervinus,Zwingli,1
Burkhardt Wirz,Zwingli,2
Balthasar Trachsel,Zwingli,1
Gerold Meyer von Knonau,Zwingli,1
Martin Bucer,Zwingli,20
Franz Zink,Zwingli,1
Petrus Wickgram,Zwingli,1
Zwingli,Marcus Bersius,1
Zwingli,Berchtold Haller,28
Joachim vom Grüt,Zwingli,1
Adam Weiss,Zwingli,2
Zwingli,Hermann Buschius,1
Zwingli,Michael Hummelberg,4
Johannes Wanner,Zwingli,3
Zwingli,Johannes Xylotectus,5
Bartholomäus Stocker,Zwingli,1
Zwingli,Werner Steiner,3
Zwingli,Michael Wüst,3
